Metric,DCWRNN,Naive_Baseline
MAE,162.13280209617778,140.42302617963577
MSE,47521.524684828044,34986.822328984344
RMSE,217.9943225976953,187.04764721584803
R2,0.959245245311975,0.9699950838953931
