loss,mae,val_loss,val_mae
0.026249395683407784,0.12030772119760513,0.059860192239284515,0.22566793859004974
0.02404901571571827,0.11898455768823624,0.08533232659101486,0.27796775102615356
0.0394836850464344,0.16361592710018158,0.06944453716278076,0.248748317360878
0.052854374051094055,0.19379490613937378,0.016217458993196487,0.1104227602481842
0.06555817276239395,0.21714052557945251,0.0056509217247366905,0.05697464570403099
0.05571021884679794,0.20049263536930084,0.00762919569388032,0.0714198648929596
0.030934184789657593,0.1480904370546341,0.0042503587901592255,0.05017595738172531
0.014910854399204254,0.09681347012519836,0.0026151270139962435,0.03799019753932953
0.009296688251197338,0.07396356016397476,0.0022803237661719322,0.03505105897784233
0.007239233236759901,0.06351085752248764,0.00212814356200397,0.03353710472583771
0.006167279556393623,0.0571175143122673,0.0020028550643473864,0.0323425829410553
0.005471452139317989,0.052683986723423004,0.0018933952087536454,0.03139549121260643
0.004970263689756393,0.049431461840867996,0.0018042062874883413,0.03062816895544529
0.0045950342901051044,0.046925898641347885,0.0017543138237670064,0.03036743961274624
0.004315932281315327,0.04498569294810295,0.0017770373960956931,0.03078504092991352
0.004116099327802658,0.04355611652135849,0.0019192150793969631,0.03239092975854874
0.00398293836042285,0.04271712899208069,0.002234609564766288,0.03579646721482277
0.003904516575857997,0.04229702055454254,0.00277010933496058,0.04123016074299812
0.003868000116199255,0.042250849306583405,0.003547739703208208,0.04795290529727936
0.003859458025544882,0.0424174964427948,0.004548913799226284,0.05560562387108803
0.003864806378260255,0.042703449726104736,0.005708043929189444,0.06394799053668976
0.003871477674692869,0.04293542355298996,0.006919655483216047,0.07168576866388321
0.003870222484692931,0.04307502880692482,0.008058307692408562,0.07830195128917694
0.003856309922412038,0.043096043169498444,0.009005539119243622,0.08344265073537827
0.0038295877166092396,0.04300955310463905,0.009675194509327412,0.08693493902683258
0.0037932489067316055,0.04281039163470268,0.010028536431491375,0.08870305866003036
0.003751908428966999,0.04256155714392662,0.01007620058953762,0.08891228586435318
0.0037097628228366375,0.042274750769138336,0.009867755696177483,0.08783509582281113
0.003669468220323324,0.04197492450475693,0.00947424303740263,0.0858021154999733
