cost_bps,slippage_bps,n_days,final_portfolio_value,total_return_pct,annual_return,max_drawdown,annualized_volatility,sharpe,sortino,calmar,omega,win_rate_pct,turnover,label,strategy
5,5,301,99777.54657043585,-0.22245342956415115,-0.0018627383156130106,0.06624472610628755,0.057807921725866664,-0.003483272040177627,-0.004372948983810849,-0.028119043206915918,0.9992005384061409,52.159468438538205,0.11866666666666667,cost5_slip5,naive
5,5,300,109384.71639687417,9.384716396874172,0.07826021686305373,0.072967341015193,0.10936947777607932,0.7435587648064842,1.0486197010481215,1.0725376007158964,1.1410168121787003,50.66666666666667,0.11538462211438912,convex_optimized,convex_optimized
5,5,300,109547.87840120828,9.547878401208276,0.07961108655077176,0.04754389716287617,0.08992497102700875,0.8967611424593718,1.3043605968015857,1.6744754069705228,1.1683978737103342,52.0,0.11809559386096445,cvar_constrained,cvar_constrained
5,10,301,98006.22360600933,-1.993776393990676,-0.01671938165763509,0.07786495723325292,0.05797364032166768,-0.26197090858550215,-0.3302792623281843,-0.2147228002392703,0.9417861769934966,51.162790697674424,0.11866666666666667,cost5_slip10,naive
5,10,300,105639.27946098226,5.6392794609822605,0.04716076444133788,0.0748171216881327,0.10896668089591875,0.47725811181964306,0.676112929082307,0.6303472170170159,1.0887017762774631,50.33333333333333,0.10535117056184058,convex_optimized,convex_optimized
5,10,300,106012.04458570622,6.012044585706211,0.05026375205800804,0.04764081241274641,0.08888564586690871,0.5960747405750911,0.8698712534351659,1.0550565683586004,1.108701466584123,51.0,0.10878621361206123,cvar_constrained,cvar_constrained
5,15,301,96266.01131722904,-3.733988682770961,-0.031357716387105605,0.08942694056262938,0.05817370363957015,-0.5186785755923596,-0.6588602798094588,-0.35065178557846893,0.8884914433037697,49.501661129568106,0.11866666666666667,cost5_slip15,naive
5,15,300,103156.78305015022,3.1567830501502137,0.026450814693329328,0.07666367144966585,0.1091875660596077,0.2935382477952747,0.4234896443143818,0.34502410585300264,1.053138899756828,49.0,0.09531772564227105,convex_optimized,convex_optimized
5,15,300,103321.71111132085,3.3217111113208464,0.027829162043514932,0.04771207017982854,0.08882194085693709,0.353305878194166,0.526240242362613,0.5832729944147425,1.0622550238650623,49.666666666666664,0.09635388059879467,cvar_constrained,cvar_constrained
5,20,301,94556.36917162445,-5.443630828375545,-0.04578090896964637,0.10084620763315401,0.0584077587590832,-0.773176393201516,-0.9864985769095663,-0.45396758137085885,0.8392498810337263,48.50498338870432,0.11866666666666667,cost5_slip20,naive
5,20,300,101903.87739999333,1.9038773999933367,0.01596838934157896,0.07850699500206856,0.11044209720539419,0.19849423294299798,0.2894052244029566,0.203400847799081,1.0354693398871069,48.66666666666667,0.08193980058454464,convex_optimized,convex_optimized
5,20,300,101591.88758362428,1.591887583624274,0.013354930437276868,0.04890822256337304,0.08852491255530644,0.19399893344864746,0.28729085903890644,0.2730610465340907,1.0334000856587442,49.666666666666664,0.0818005491497933,cvar_constrained,cvar_constrained
5,25,301,92876.76592612652,-7.1232340738734745,-0.05999208054306471,0.1121244923327804,0.058675398903546144,-1.0250556091289755,-1.3129754520958443,-0.5350488487832875,0.7937289791242121,47.50830564784053,0.11866666666666667,cost5_slip25,naive
5,25,300,100662.17523172114,0.6621752317211405,0.005559332905022751,0.08034709912907241,0.11052185364903074,0.10524722176010308,0.1542181764168743,0.06919145762925483,1.0186117376298094,48.333333333333336,0.08193979935269236,convex_optimized,convex_optimized
5,25,300,100400.01253339488,0.40001253339487786,0.003359031672685253,0.050925313458788236,0.08860341182036106,0.0820192243676937,0.1221844033450431,0.06595996066678272,1.0139503779874472,49.333333333333336,0.0810960916429707,cvar_constrained,cvar_constrained
10,5,301,98006.22360600933,-1.993776393990676,-0.01671938165763509,0.07786495723325292,0.05797364032166768,-0.26197090858550215,-0.3302792623281843,-0.2147228002392703,0.9417861769934966,51.162790697674424,0.11866666666666667,cost10_slip5,naive
10,5,300,105639.27946098226,5.6392794609822605,0.04716076444133788,0.0748171216881327,0.10896668089591875,0.47725811181964306,0.676112929082307,0.6303472170170159,1.0887017762774631,50.33333333333333,0.10535117056184058,convex_optimized,convex_optimized
10,5,300,106012.04458570622,6.012044585706211,0.05026375205800804,0.04764081241274641,0.08888564586690871,0.5960747405750911,0.8698712534351659,1.0550565683586004,1.108701466584123,51.0,0.10878621361206123,cvar_constrained,cvar_constrained
