cost_bps,slippage_bps,n_days,final_portfolio_value,total_return_pct,annual_return,max_drawdown,annualized_volatility,sharpe,sortino,calmar,omega,win_rate_pct,turnover,label,strategy,window,start_date,end_date
10.0,5.0,59,98919.92948820449,-1.0800705117955056,-0.04532352150313623,0.030331056551344757,0.03462079951729048,-1.3226165359332807,-2.445627054980928,-1.4942941874250921,0.7926691704559505,44.06779661016949,0.12241379310344827,walk_forward,naive,window_1,2024-12-26,2025-03-20
10.0,5.0,58,98922.99470758752,-1.0770052924124807,-0.04595823924872933,0.06014650210692712,0.11868242305419402,-0.3381548913285003,-0.540003763565929,-0.7641049377572413,0.9420915039421601,39.6551724137931,0.07894737083346287,convex_optimized,convex_optimized,window_1,2024-12-26,2025-03-20
10.0,5.0,58,100010.74639132392,0.010746391323923632,0.0004669960971970255,0.04267992494897205,0.09538681584592375,0.051626208870990634,0.09026169246826492,0.010941820955762321,1.0093756943080945,43.103448275862064,0.09339440182165959,cvar_constrained,cvar_constrained,window_1,2024-12-26,2025-03-20
10.0,5.0,59,104521.17258693061,4.521172586930611,0.20788345247915352,0.02818614291047698,0.09576348526500819,2.0197446459972137,4.312195260373092,7.375377792535134,1.5205877979494864,50.847457627118644,0.14137931034482756,walk_forward,naive,window_2,2025-03-21,2025-06-19
10.0,5.0,58,100346.80885119118,0.34680885119118265,0.015155880842322444,0.06396743587376856,0.14054019681269075,0.17619297549472648,0.2488406587862661,0.23693119218082478,1.0334300504493548,43.103448275862064,0.12280702618206127,convex_optimized,convex_optimized,window_2,2025-03-21,2025-06-19
10.0,5.0,58,96800.40982930643,-3.199590170693567,-0.13176187599637812,0.04314829468051767,0.08950194067542205,-1.5339505533891558,-1.7304522111849292,-3.053698343630514,0.7495047416872199,43.103448275862064,0.13154334248279204,cvar_constrained,cvar_constrained,window_2,2025-03-21,2025-06-19
10.0,5.0,59,101187.25837125868,1.1872583712586815,0.05170362648156823,0.005023086594298753,0.02285269309910207,2.2173751425529127,4.27152242753956,10.293198317594664,1.4187400063894706,55.932203389830505,0.07586206896551725,walk_forward,naive,window_3,2025-06-20,2025-09-15
10.0,5.0,58,107080.27541919773,7.080275419197735,0.3461162480352187,0.010052788764488537,0.06896748627319367,4.3459967646370945,7.939397267124767,34.42987375382579,2.0376917450693233,56.896551724137936,0.1403508769271249,convex_optimized,convex_optimized,window_3,2025-06-20,2025-09-15
10.0,5.0,58,107080.50465251136,7.080504652511355,0.34612876862887476,0.010478786115457184,0.06915406527757459,4.334588568999191,7.951694478113842,33.031380239577814,2.0307797126871563,56.896551724137936,0.1403508763696249,cvar_constrained,cvar_constrained,window_3,2025-06-20,2025-09-15
10.0,5.0,59,99252.84926497132,-0.7471507350286899,-0.03152442336015493,0.01509201273810686,0.017566835778921,-1.814681757898896,-2.564724789580593,-2.0888150511930554,0.7521309467182322,52.54237288135594,0.08275862068965519,walk_forward,naive,window_4,2025-09-16,2025-12-11
10.0,5.0,58,100111.4372427355,0.11143724273550148,0.004850787467324702,0.0347685273811164,0.06995554895446585,0.10358293791334514,0.1499818237088168,0.1395166212866202,1.016824884946529,53.44827586206896,0.08771930066596414,convex_optimized,convex_optimized,window_4,2025-09-16,2025-12-11
10.0,5.0,58,100111.43711961983,0.11143711961982827,0.004850782098196671,0.03476852850226313,0.06995554920294846,0.10358286140852971,0.14998171327569826,0.13951646236282123,1.0168248724263376,53.44827586206896,0.08771929888881401,cvar_constrained,cvar_constrained,window_4,2025-09-16,2025-12-11
10.0,5.0,59,96927.88392018256,-3.072116079817444,-0.12477441247055088,0.03446489214850293,0.05974827371965309,-2.200453108940633,-2.065281345156321,-3.6203337568247917,0.6224880786254908,52.54237288135594,0.1603448275862069,walk_forward,naive,window_5,2025-12-12,2026-03-11
10.0,5.0,58,100890.3481785854,0.8903481785853984,0.03926413179339172,0.04621374402687756,0.11788967533867062,0.384599189079962,0.5452620380578755,0.8496202292234969,1.0690676767328744,58.620689655172406,0.10526315791541398,convex_optimized,convex_optimized,window_5,2025-12-12,2026-03-11
10.0,5.0,58,103152.68542336127,3.152685423361268,0.1443809408562029,0.024825353823689993,0.10135193255520485,1.3806351084910888,2.4028158788546006,5.815866387307039,1.2679292884491233,60.3448275862069,0.1039848620298431,cvar_constrained,cvar_constrained,window_5,2025-12-12,2026-03-11
