strategy,mean,std,min,max
convex_optimized,0.9344433951593256,1.925214549138774,-0.3381548913285003,4.3459967646370945
cvar_constrained,0.8672964388761288,2.196599347612318,-1.5339505533891558,4.334588568999191
naive,-0.22012632284453662,2.1586003124723177,-2.200453108940633,2.2173751425529127
