,Total Return (%),Max Drawdown (%),Sharpe Ratio,Turnover,Final Portfolio
Phase 1,-51.90592323187955,-51.905923231879555,-0.5030837417926258,82.0,48094.076768120445
Phase 2,-18.69658792244875,-21.238793285761634,-0.11789320049411825,50.599964059664046,81303.41207755126
