Date,Actual_Close,Predicted_Close,Signal,Market_Return,Stop_Loss_Return,Protected_Return,Strategy_Return,Prediction_Change,Position_Size,Trade,Transaction_Cost,Net_Return,Portfolio_Value,Expected_Return,Optimized_Position,Optimized_Turnover,Optimized_Transaction_Cost,Optimized_Gross_Return,Optimized_Net_Return,Optimized_Portfolio_Value
2024-08-02,24814.001476001897,25110.24,1,,,,,0.0119383616658765,1.0,,,0.0,100000.0,,0.0,0.0,0.0,,0.0,100000.0
2024-08-05,24345.283345295105,24949.012,1,-0.0188892602090032,-0.0188892602090032,-0.0188892602090032,-0.0188892602090032,0.0247985881347964,1.0,0.0,0.0,-0.0188892602090032,98111.07397909967,0.0119383616658765,0.1999999892587084,0.1999999892587084,0.00019999998925870842,-0.0037778518389055883,-0.003977851828164297,99602.21481718357
2024-08-06,24173.14558488854,24495.863,1,-0.0070706821508336,-0.0070706821508336,-0.0070706821508336,-0.0070706821508336,0.0133502449641142,1.0,0.0,0.0,-0.0070706821508336,97417.36175951654,0.0247985881347964,0.39999995344655564,0.19999996418784724,0.00019999996418784723,-0.0028282725311688317,-0.003028272495356679,99300.59216957609
2024-08-07,24245.496922854287,24248.379,1,0.0029930460523506,0.0029930460523506,0.0029930460523506,0.0029930460523506,0.0001188706156398,0.2,0.0,0.0,0.0005986092104701,97475.6766895255,0.0133502449641142,0.5999998722488686,0.199999918802313,0.000199999918802313,0.0017958272490453406,0.0015958273302430276,99459.05876846961
2024-08-08,24163.47915263329,24236.637,1,-0.0033828042577129,-0.0033828042577129,-0.0033828042577129,-0.0033828042577129,0.0030276206048224,0.2,0.0,0.0,-0.0006765608515425,97409.72846269974,0.0001188706156398,0.5999999542673531,8.201848444855386e-08,8.201848444855387e-11,-0.002029682399923147,-0.0020296824819416317,99257.18845921684
2024-08-09,24290.16916573681,24374.064,1,0.0052430369113347,0.0052430369113347,0.0052430369113347,0.0052430369113347,0.0034538596125352,0.2,0.0,0.0,0.0010486073822669,97511.87302307034,0.0030276206048224,0.7999998912238563,0.1999999369565032,0.0001999999369565032,0.004194428958750424,0.003994429021793921,99653.66425342001
2024-08-12,24325.31683666219,24420.643,1,0.0014469916074095,0.0014469916074095,0.0014469916074095,0.0014469916074095,0.0039188045926759,0.2,0.0,0.0,0.0002893983214819,97540.09279544778,0.0034538596125352,0.9999993654337205,0.1999994742098642,0.0001999994742098642,0.0014469906891974192,0.001246991214987555,99777.93149728533
2024-08-13,24210.1550854523,24395.643,1,-0.0047342343774253,-0.0047342343774253,-0.0047342343774253,-0.0047342343774253,0.0076615748182116,0.5,0.0,0.0,-0.0023671171887126,97309.20396520304,0.0039188045926759,0.999999564048349,1.9861462852155398e-07,1.9861462852155398e-10,-0.004734232313528007,-0.004734232512142635,99305.55956999653
2024-08-14,24169.11388173704,24376.787,1,-0.001695206146776,-0.001695206146776,-0.001695206146776,-0.001695206146776,0.0085925002993131,0.5,0.0,0.0,-0.000847603073388,97226.7243848532,0.0076615748182116,0.9999998111734917,2.471251426827692e-07,2.471251426827692e-10,-0.0016952058266761424,-0.001695206073801285,99137.21618225126
2024-08-16,24399.04558289426,24285.959,-1,0.0095134518494268,0.0095134518494268,0.0095134518494268,0.0095134518494268,-0.0046348773155924,0.2,2.0,0.002,-9.730963011462634e-05,97217.26328826604,0.0085925002993131,0.9999999010880459,8.99145542465618e-08,8.99145542465618e-11,0.009513450908432688,0.009513450818518133,100080.3532126859
2024-08-19,24506.33928828757,24319.033,-1,0.004397455016377,0.004397455016377,0.004397455016377,-0.004397455016377,-0.0076431769789905,0.5,0.0,0.0,-0.0021987275081885,97003.50901720334,-0.0046348773155924,0.7999999228616782,0.19999997822636773,0.00019999997822636774,0.0035179636738893,0.0033179636956629324,100412.41619129473
2024-08-20,24625.31721534164,24466.695,-1,0.0048549857102049,0.0048549857102049,0.0048549857102049,-0.0048549857102049,-0.0064414283054522,0.5,0.0,0.0,-0.0024274928551024,96768.0336921442,-0.0076431769789905,0.5999999506439222,0.199999972217756,0.000199999972217756,0.0029129911864998878,0.0027129912142821316,100684.83419422654
2024-08-21,24714.85921840317,24623.883,-1,0.0036361766339294,0.0036361766339294,0.0036361766339294,-0.0036361766339294,-0.0036810332439775,0.2,0.0,0.0,-0.0007272353267858,96697.66055953968,-0.0064414283054522,0.40000005198202293,0.19999989866189927,0.00019999989866189928,0.0014544708425875772,0.001254470943925678,100811.14039321717
2024-08-22,24774.58650618746,24701.877,-1,0.0024166549870459,0.0024166549870459,0.0024166549870459,-0.0024166549870459,-0.0029348423703984,0.2,0.0,0.0,-0.0004833309974091,96650.92358281431,-0.0036810332439775,0.20000005792415057,0.19999999405787236,0.00019999999405787236,0.0004833311373918674,0.000283331143333995,100839.70332888556
2024-08-23,24804.600637399843,24766.34,-1,0.0012114886843777,0.0012114886843777,0.0012114886843777,-0.0012114886843777,-0.0015424814920081,0.2,0.0,0.0,-0.0002422977368755,96627.50528276326,-0.0029348423703984,7.051535332107695e-08,0.19999998740879724,0.00019999998740879724,8.542855262338019e-11,-0.0001999999019802446,100819.53539810407
2024-08-26,24931.91500373066,24869.375,-1,0.0051326916402296,0.0051326916402296,0.0051326916402296,-0.0051326916402296,-0.0025084316115028,0.2,0.0,0.0,-0.0010265383280459,96528.31344504704,-0.0015424814920081,-0.19999990383802277,0.1999999743533761,0.0001999999743533761,-0.0010265378344761435,-0.0012265378088295196,100695.87642606965
2024-08-27,24984.963948849498,25140.357,1,0.0021277525256644,0.0021277525256644,0.0021277525256644,-0.0021277525256644,0.0062194626923869,0.5,2.0,0.002,-0.0030638762628322,96232.56263679152,-0.0025084316115028,-0.3999998558508317,0.19999995201280893,0.00019999995201280894,-0.0008511007035520031,-0.0010511006555648122,100590.03492434553
2024-08-28,25026.610577408635,25241.904,1,0.0016668676666653,0.0016668676666653,0.0016668676666653,0.0016668676666653,0.008602580118688,0.5,0.0,0.0,0.0008334338333326,96312.76611036134,0.0062194626923869,-0.20000011343142873,0.19999974241940296,0.00019999974241940297,-0.00033337372240824096,-0.0005333734648276439,100536.3828688908
2024-08-29,25104.07411786134,25154.23,1,0.0030952469657488,0.0030952469657488,0.0030952469657488,0.0030952469657488,0.001997918023313,0.2,0.0,0.0,0.0006190493931497,96372.38846977452,0.008602580118688,-1.152309926393595e-07,0.1999999982004361,0.0001999999982004361,-3.566683803271998e-10,-0.00020000035486881642,100516.2755566398
2024-08-30,25185.547235039496,25138.773,-1,0.003245414142567,0.003245414142567,0.003245414142567,0.003245414142567,-0.0018571855756391,0.2,2.0,0.002,-0.0013509171714865,96242.19735533354,0.001997918023313,0.19999986451407578,0.19999997974506842,0.00019999997974506843,0.0006490823888054654,0.00044908240906039695,100561.41564781655
2024-09-02,25243.11832709207,25257.018,1,0.002285878147308,0.002285878147308,0.002285878147308,-0.002285878147308,0.0005506321654806,0.2,2.0,0.002,-0.0024571756294616,96005.71337346618,-0.0018571855756391,-1.2088639494353868e-07,0.19999998540047073,0.00019999998540047074,-2.7633156850827937e-10,-0.00020000026173203926,100541.30333836684
2024-09-03,25265.81950799328,25364.2,1,0.0008993017664085,0.0008993017664085,0.0008993017664085,0.0008993017664085,0.0038938175734056,0.2,0.0,0.0,0.0001798603532817,96022.9809949906,0.0005506321654806,1.4727664799013032e-06,1.593652874844842e-06,1.5936528748448419e-09,1.3244614968824705e-09,-2.691913779623714e-10,100541.303311302
2024-09-04,25224.33688790621,25475.77,1,-0.0016418474007521,-0.0016418474007521,-0.0016418474007521,-0.0016418474007521,0.0099678779747958,0.5,0.0,0.0,-0.000820923700376,95944.15345411104,0.0038938175734056,0.2000010942108503,0.1999996214443704,0.0001999996214443704,-0.00032837127667766043,-0.0005283708981220309,100488.18021257305
2024-09-05,25175.36555659788,25483.469,1,-0.0019414318610615,-0.0019414318610615,-0.0019414318610615,-0.0019414318610615,0.0122382907493223,1.0,0.0,0.0,-0.0019414318610615,95757.88441771266,0.0099678779747958,0.40000109127720546,0.19999999706635516,0.00019999999706635517,-0.000776574863064936,-0.000976574860131291,100390.04598203712
2024-09-06,24975.607598347204,25344.055,1,-0.0079346596895124,-0.0079346596895124,-0.0079346596895124,-0.0079346596895124,0.0147522898172526,1.0,0.0,0.0,-0.0079346596895124,94998.07819227043,0.0122382907493223,0.6000010890195707,0.19999999774236527,0.00019999999774236526,-0.004760804454707129,-0.004960804452449495,99892.0305949478
2024-09-09,24951.376211370905,25060.188,1,-0.0009702021014256,-0.0009702021014256,-0.0009702021014256,-0.0009702021014256,0.0043609533881944,0.2,0.0,0.0,-0.0001940404202851,94979.64472525174,0.0147522898172526,0.8000009369033723,0.19999984788380154,0.00019999984788380155,-0.0007761625901261006,-0.0009761624380099021,99794.51974682449
2024-09-10,25006.828320923567,25054.145,1,0.0022224068557545,0.0022224068557545,0.0022224068557545,0.0022224068557545,0.001892150354663,0.2,0.0,0.0,0.0004444813711509,95021.86140797065,0.0043609533881944,0.9999999584687945,0.19999902156542226,0.00019999902156542227,0.002222406763455264,0.0020224077418898416,99996.34495615863
