,Total Return (%),Maximum Drawdown (%),Sharpe Ratio,Turnover,VaR 95%,CVaR 95%,Final Portfolio
Phase 1 Baseline,-51.90592323187955,-51.90592323187955,-0.5030837417926258,82.0,-0.009122198935947,-0.012758310111757801,48094.076768120445
Phase 2 Cost-Aware,-18.69658792244875,-21.238793285761638,-0.11789320049411825,50.599964059664046,-0.0080828125795116,-0.011353785078287841,81303.41207755126
Mean-Variance,-19.00970314395827,-21.11742271823426,-0.12219542346055993,48.13780013627383,-0.0080828449792515,-0.011363310604942375,80990.29685604174
Phase 3 Walk-Forward CVaR,-15.92551395885643,-17.367775416835784,-0.10901986212319494,42.48372189406624,-0.0072769360355676,-0.010634412392945122,84074.48604114357
