Date,Actual_Close,Predicted_Close
2024-08-02,24814.001476001897,25110.24
2024-08-05,24345.283345295105,24949.012
2024-08-06,24173.14558488854,24495.863
2024-08-07,24245.496922854287,24248.379
2024-08-08,24163.47915263329,24236.637
2024-08-09,24290.16916573681,24374.064
2024-08-12,24325.31683666219,24420.643
2024-08-13,24210.1550854523,24395.643
2024-08-14,24169.113881737037,24376.787
2024-08-16,24399.04558289426,24285.959
2024-08-19,24506.339288287574,24319.033
2024-08-20,24625.31721534164,24466.695
2024-08-21,24714.859218403166,24623.883
2024-08-22,24774.58650618746,24701.877
2024-08-23,24804.600637399843,24766.34
2024-08-26,24931.91500373066,24869.375
2024-08-27,24984.963948849498,25140.357
2024-08-28,25026.610577408635,25241.904
2024-08-29,25104.07411786134,25154.23
2024-08-30,25185.547235039496,25138.773
2024-09-02,25243.11832709207,25257.018
2024-09-03,25265.81950799328,25364.2
2024-09-04,25224.33688790621,25475.77
2024-09-05,25175.365556597877,25483.469
2024-09-06,24975.607598347204,25344.055
2024-09-09,24951.376211370905,25060.188
2024-09-10,25006.828320923567,25054.145
2024-09-11,24952.2070318851,25105.73
2024-09-12,25222.09837024771,25130.023
2024-09-13,25305.163145578004,25265.652
2024-09-16,25353.732492679737,25315.49
2024-09-17,25393.79239810876,25430.748
2024-09-18,25383.754526857792,25442.355
2024-09-19,25403.56020128431,25449.85
2024-09-20,25642.97978094653,25446.295
2024-09-23,25825.961722217253,25625.652
2024-09-24,25896.68870892052,25818.355
2024-09-25,25963.103680702112,25957.293
2024-09-26,26119.43358619644,26054.666
2024-09-27,26156.21626997649,26273.33
2024-09-30,25942.767935143722,26319.725
2024-10-01,25852.616834775665,26112.436
2024-10-03,25480.240710670776,25996.26
2024-10-04,25218.07712591369,25684.193
2024-10-07,24971.67180173053,25438.014
2024-10-08,24997.367108675327,25136.62
2024-10-09,24987.76489026193,25159.414
2024-10-10,24994.375579904685,25079.605
2024-10-11,24975.753899500563,25074.934
2024-10-14,25069.81802632993,24902.783
2024-10-15,25062.112094013446,24919.715
2024-10-16,25005.987587628726,24944.074
2024-10-17,24847.68559951617,24927.771
2024-10-18,24851.619498214823,24708.947
2024-10-21,24808.03580996013,24674.865
2024-10-22,24600.415819899197,24679.69
2024-10-23,24498.492237915507,24665.168
2024-10-24,24437.25010828166,24498.33
2024-10-25,24278.755707783945,24412.598
2024-10-28,24316.081674519486,24377.883
2024-10-29,24409.261382673827,24292.506
2024-10-30,24366.980581544496,24367.129
2024-10-31,24267.08714710906,24358.168
2024-11-01,24290.116615293922,24292.49
2024-11-04,24107.94058687399,24140.484
2024-11-05,24173.056768059658,24131.156
2024-11-06,24365.261638509022,24200.74
2024-11-07,24262.722365361733,24408.21
2024-11-08,24191.943168257098,24378.404
2024-11-11,24160.644451815282,24276.62
2024-11-12,23989.32837626149,24230.898
2024-11-13,23723.402197946827,24206.117
2024-11-14,23605.541275047322,23961.53
2024-11-18,23511.760492410885,23746.768
2024-11-19,23515.925737168393,23637.018
2024-11-21,23413.3164300106,23574.213
2024-11-22,23718.58416444862,23500.75
2024-11-25,24028.708588971873,23825.674
2024-11-26,24129.834655638882,24041.527
2024-11-27,24219.790090204042,24168.992
2024-11-28,24030.80225926629,24250.834
2024-11-29,24092.793839998274,24181.512
2024-12-02,24206.05403378048,24192.705
2024-12-03,24361.240351735403,24305.357
2024-12-04,24426.881055957743,24475.22
2024-12-05,24600.869578880076,24551.246
2024-12-06,24648.415676963665,24774.686
2024-12-09,24630.23578878556,24827.988
2024-12-10,24617.760768064163,24845.291
2024-12-11,24632.61831330322,24836.281
2024-12-12,24580.753460564105,24884.79
2024-12-13,24696.664079247003,24806.234
2024-12-16,24679.103212513317,24803.57
2024-12-17,24467.053765530807,24801.1
2024-12-18,24301.294481102534,24606.709
2024-12-19,24085.232726662736,24536.69
2024-12-20,23777.616984272,24299.18
2024-12-23,23762.770070026967,23975.518
2024-12-24,23741.034252600268,23699.56
2024-12-26,23746.699680221245,23734.316
2024-12-27,23787.92422543971,23648.953
2024-12-30,23699.530246676255,23696.262
2024-12-31,23665.7055552147,23736.168
2025-01-01,23713.41459170785,23708.115
2025-01-02,24007.126472109583,23708.562
2025-01-03,24005.657731569627,24050.756
2025-01-06,23764.867393949102,23974.494
2025-01-07,23729.659849656087,23933.654
2025-01-08,23704.49929605252,23802.611
2025-01-09,23594.48968111841,23817.84
2025-01-10,23493.756518371712,23822.715
2025-01-13,23241.717746345177,23741.643
2025-01-14,23201.133329978304,23504.377
2025-01-15,23208.590459343686,23321.99
2025-01-16,23272.37794627161,23245.863
2025-01-17,23229.623141364787,23379.016
2025-01-20,23300.775453019352,23352.695
2025-01-21,23130.12077931396,23431.004
2025-01-22,23145.713053788077,23282.734
2025-01-23,23182.570472112766,22964.045
2025-01-24,23126.717965928652,23069.297
2025-01-27,22942.811090441097,23246.984
2025-01-28,22951.73482730899,23171.623
2025-01-29,23082.365446650496,23032.637
2025-01-30,23185.66028131502,23159.62
2025-01-31,23385.124638401445,23346.908
2025-02-01,23445.089851059627,23576.65
2025-02-03,23393.15084953435,23575.59
2025-02-04,23607.051887999583,23505.45
2025-02-05,23662.21073748665,23595.69
2025-02-06,23625.832559697486,23759.654
2025-02-07,23585.114415699543,23772.09
2025-02-10,23459.335348177126,23803.785
2025-02-11,23219.82581400069,23670.174
2025-02-12,23111.932027334587,23403.617
2025-02-13,23062.1607386784,23243.62
2025-02-14,22980.017384705294,23301.361
2025-02-17,22967.336943597165,23231.0
2025-02-18,22953.717846285006,23069.744
2025-02-19,22940.851951127832,22978.58
2025-02-20,22923.73144519567,22898.045
2025-02-21,22844.727508653254,22889.312
2025-02-24,22664.64606332875,22939.562
2025-02-25,22592.27719908183,22603.533
2025-02-27,22563.089667694854,22457.068
2025-02-28,22292.149469903605,22494.627
2025-03-03,22185.32310540483,22542.713
2025-03-04,22121.86787795367,22365.361
2025-03-05,22255.012734485874,22188.693
2025-03-06,22434.048827842566,22416.451
2025-03-07,22507.255678243124,22636.895
2025-03-10,22478.235955963126,22685.281
2025-03-11,22490.389244953716,22607.957
2025-03-12,22478.097015561747,22591.424
2025-03-13,22428.099427517103,22568.932
2025-03-17,22477.944222523674,22558.379
2025-03-18,22698.18468793049,22606.158
2025-03-19,22827.610227134588,22849.543
2025-03-20,23051.98138745298,22964.043
2025-03-21,23236.41447430215,23100.291
2025-03-24,23497.184728824952,23308.04
2025-03-25,23603.15633572088,23553.021
2025-03-26,23531.27482571889,23681.586
2025-03-27,23568.773662858886,23670.559
2025-03-28,23538.22791794405,23740.504
2025-04-01,23307.99252005734,23761.236
2025-04-02,23323.04602912267,23578.928
2025-04-03,23277.96266236099,23511.13
2025-04-04,23047.118658954383,23496.332
2025-04-07,22499.83778862882,23361.514
2025-04-08,22515.37334791257,22871.555
2025-04-09,22440.79879514735,22575.186
