Date,Actual_Close,Predicted_Close,Market_Return,Forecast_Return,Signal,Strategy_Return,Protected_Return,Prediction_Strength,Position_Size,Position,Previous_Position,Turnover,Transaction_Cost,Slippage_Cost,Net_Return,Portfolio_Value
2024-12-26,23750.19921875,23836.32069687336,,,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2024-12-27,23813.400390625,23780.550158455968,0.002661079652128029,0.001277923583984375,1,0.002661079652128029,0.002661079652128029,0.001277923583984375,0.2,0.2,0.0,0.2,0.0002,0.0001,0.00023221593042560578,100023.22159304256
2024-12-30,23644.900390625,23797.8978210052,-0.007075847935867907,-0.0006510019302368164,-1,0.007075847935867907,0.007075847935867907,0.0006510019302368164,0.2,-0.2,0.2,0.4,0.0004,0.0002,0.0008151695871735815,100104.75748129633
2024-12-31,23644.80078125,23640.42994546657,-4.212721278373799e-06,-0.00018906593322765008,-1,4.212721278373799e-06,4.212721278373799e-06,0.00018906593322765008,0.2,-0.2,-0.2,0.0,0.0,0.0,8.425442556747598e-07,100104.84182398471
2025-01-01,23742.900390625,23640.716514070984,0.004148887118253564,-0.00017273426055908203,-1,-0.004148887118253564,-0.004148887118253564,0.00017273426055908203,0.2,-0.2,-0.2,0.0,0.0,0.0,-0.0008297774236507128,100021.77708624105
2025-01-02,24188.650390625,23829.70230927225,0.018774033191665485,0.0036559104919431373,1,0.018774033191665485,0.018774033191665485,0.0036559104919431373,0.2,0.2,-0.2,0.4,0.0004,0.0002,0.003154806638333097,100337.3264525706
2025-01-03,24004.75,24381.822615023702,-0.007602755327609123,0.007986068725585938,1,-0.007602755327609123,-0.007602755327609123,0.007986068725585938,0.5,0.5,0.2,0.3,0.0003,0.00015,-0.004251377663804561,99910.75458404428
2025-01-06,23616.05078125,24095.611180067062,-0.016192595996625703,0.0037851333618164062,1,-0.016192595996625703,-0.016192595996625703,0.0037851333618164062,0.2,0.2,0.5,0.3,0.0003,0.00015,-0.0036885191993251405,99542.23184754197
2025-01-07,23707.900390625,23675.02469346113,0.0038892874268343647,0.0024971961975095436,1,0.0038892874268343647,0.0038892874268343647,0.0024971961975095436,0.2,0.2,0.2,0.0,0.0,0.0,0.000777857485366873,99619.66151769471
2025-01-08,23688.94921875,23822.11569052772,-0.0007993610384197103,0.004817605018615945,1,-0.0007993610384197103,-0.0007993610384197103,0.004817605018615945,0.2,0.2,0.2,0.0,0.0,0.0,-0.00015987220768394207,99603.73510247916
2025-01-09,23526.5,23751.219981577717,-0.006857594959147506,0.0026286840438844994,1,-0.006857594959147506,-0.006857594959147506,0.0026286840438844994,0.2,0.2,0.2,0.0,0.0,0.0,-0.0013715189918295013,99467.12668812895
2025-01-10,23431.5,23645.038266301155,-0.004037999702463213,0.00503849983215332,1,-0.004037999702463213,-0.004037999702463213,0.00503849983215332,0.5,0.5,0.2,0.3,0.0003,0.00015,-0.0024689998512316064,99221.54236713352
2025-01-13,23085.94921875,23484.84274238348,-0.014747275302477436,0.0022765398025512695,1,-0.014747275302477436,-0.014747275302477436,0.0022765398025512695,0.2,0.2,0.5,0.3,0.0003,0.00015,-0.003399455060495487,98884.2431928234
2025-01-14,23176.05078125,23109.95818674378,0.003902874499386977,0.0010399818420410156,1,0.003902874499386977,0.003902874499386977,0.0010399818420410156,0.2,0.2,0.2,0.0,0.0,0.0,0.0007805748998773954,98961.4297510531
2025-01-15,23213.19921875,23218.258085225243,0.0016028803979861728,0.0018211603164672852,1,0.0016028803979861728,0.0016028803979861728,0.0018211603164672852,0.2,0.2,0.2,0.0,0.0,0.0,0.00032057607959723455,98993.15441823404
2025-01-16,23311.80078125,23298.153148652986,0.004247650725383689,0.0036597251892089844,1,0.004247650725383689,0.004247650725383689,0.0036597251892089844,0.2,0.2,0.2,0.0,0.0,0.0,0.0008495301450767379,99077.25208706858
2025-01-17,23203.19921875,23423.732666953467,-0.004658651792672774,0.004801511764526367,1,-0.004658651792672774,-0.004658651792672774,0.004801511764526367,0.2,0.2,0.2,0.0,0.0,0.0,-0.0009317303585345549,98984.93880345888
2025-01-20,23344.75,23289.73744902108,0.006100485537167577,0.003729581832885742,1,0.006100485537167577,0.006100485537167577,0.003729581832885742,0.2,0.2,0.2,0.0,0.0,0.0,0.0012200971074335155,99105.71004097245
2025-01-21,23024.650390625,23431.74936562777,-0.013711845677293555,0.0037267208099367455,1,-0.013711845677293555,-0.013711845677293555,0.0037267208099367455,0.2,0.2,0.2,0.0,0.0,0.0,-0.0027423691354587112,98833.92560060837
2025-01-22,23155.349609375,23099.98285992397,0.0056764909144164655,0.003271818161010742,1,0.0056764909144164655,0.0056764909144164655,0.003271818161010742,0.2,0.2,0.2,0.0,0.0,0.0,0.0011352981828832932,98946.13157674998
2025-01-23,23205.349609375,23168.35077675106,0.0021593282262408753,0.0005614757537841797,1,0.0021593282262408753,0.0021593282262408753,0.0005614757537841797,0.2,0.2,0.2,0.0,0.0,0.0,0.00043186564524817507,98988.86301170818
2025-01-24,23092.19921875,23245.557681628736,-0.004876047658393667,0.0017327070236206055,1,-0.004876047658393667,-0.004876047658393667,0.0017327070236206055,0.2,0.2,0.2,0.0,0.0,0.0,-0.0009752095316787335,98892.32812896912
2025-01-27,22829.150390625,23144.359361505136,-0.011391241935562957,0.002258777618408203,1,-0.011391241935562957,-0.011391241935562957,0.002258777618408203,0.2,0.2,0.2,0.0,0.0,0.0,-0.0022782483871125916,98667.02684191149
2025-01-28,22957.25,22786.53117302747,0.005611229817278129,-0.0018668770790100098,-1,-0.005611229817278129,-0.005611229817278129,0.0018668770790100098,0.2,-0.2,0.2,0.4,0.0004,0.0002,-0.001722245963455626,98497.09795320683
2025-01-29,23163.099609375,22989.53505590558,0.008966649288351114,0.0014063119888305664,1,0.008966649288351114,0.008966649288351114,0.0014063119888305664,0.2,0.2,-0.2,0.4,0.0004,0.0002,0.0011933298576702227,98614.63748108827
2025-01-30,23249.5,23269.36657148204,0.003730087599762788,0.0045877695083620385,1,0.003730087599762788,0.003730087599762788,0.0045877695083620385,0.2,0.2,0.2,0.0,0.0,0.0,0.0007460175199525576,98688.20572837294
2025-01-31,23508.400390625,23391.57275146246,0.011135740150325812,0.006110787391662598,1,0.011135740150325812,0.011135740150325812,0.006110787391662598,0.5,0.5,0.2,0.3,0.0003,0.00015,0.005117870075162906,99193.27914324169
2025-02-01,23482.150390625,23660.288736435352,-0.0011166221250199504,0.006461024284362793,1,-0.0011166221250199504,-0.0011166221250199504,0.006461024284362793,0.5,0.5,0.5,0.0,0.0,0.0,-0.0005583110625099752,99137.89843816937
2025-02-03,23361.05078125,23609.83442661376,-0.005157091976693451,0.005437493324280007,1,-0.005157091976693451,-0.005157091976693451,0.005437493324280007,0.5,0.5,0.5,0.0,0.0,0.0,-0.0025785459883467254,98882.2668078585
2025-02-04,23739.25,23452.4608377032,0.016189306820631133,0.003912925720214844,1,0.016189306820631133,0.016189306820631133,0.003912925720214844,0.2,0.2,0.5,0.3,0.0003,0.00015,0.002787861364126227,99157.93685908933
2025-02-05,23696.30078125,23900.42352309823,-0.001809207062143936,0.0067893266677856445,1,-0.001809207062143936,-0.001809207062143936,0.0067893266677856445,0.5,0.5,0.2,0.3,0.0003,0.00015,-0.0013546035310719679,99023.6171676862
2025-02-06,23603.349609375,23881.21626966493,-0.003922602634608197,0.007803559303283469,1,-0.003922602634608197,-0.003922602634608197,0.007803559303283469,0.5,0.5,0.5,0.0,0.0,0.0,-0.0019613013173040983,98829.402016891
2025-02-07,23559.94921875,23730.98360319505,-0.0018387386257991967,0.005407452583312766,1,-0.0018387386257991967,-0.0018387386257991967,0.005407452583312766,0.5,0.5,0.5,0.0,0.0,0.0,-0.0009193693128995983,98738.54129746446
2025-02-10,23381.599609375,23688.28377909679,-0.007570033692307909,0.0054471492767333984,1,-0.007570033692307909,-0.007570033692307909,0.0054471492767333984,0.5,0.5,0.5,0.0,0.0,0.0,-0.0037850168461539546,98364.81425528887
2025-02-11,23071.80078125,23444.7543406426,-0.013249684936046169,0.0027010440826418236,1,-0.013249684936046169,-0.013249684936046169,0.0027010440826418236,0.2,0.2,0.5,0.3,0.0003,0.00015,-0.003099936987209234,98059.88952933894
2025-02-12,23045.25,23131.75891220942,-0.0011507892904301098,0.0025987625122070312,1,-0.0011507892904301098,-0.0011507892904301098,0.0025987625122070312,0.2,0.2,0.2,0.0,0.0,0.0,-0.00023015785808602198,98037.3202752007
2025-02-13,23031.400390625,23171.0336599946,-0.0006009745771905495,0.005458116531371848,1,-0.0006009745771905495,-0.0006009745771905495,0.005458116531371848,0.5,0.5,0.2,0.3,0.0003,0.00015,-0.0007504872885952746,97963.74451252623
2025-02-14,22929.25,23234.664948525373,-0.004435266153706374,0.008825540542602539,1,-0.004435266153706374,-0.004435266153706374,0.008825540542602539,0.5,0.5,0.5,0.0,0.0,0.0,-0.002217633076853187,97746.49687236286
2025-02-17,22959.5,23112.8784416914,0.0013192755977626813,0.008008480072021484,1,0.0013192755977626813,0.0013192755977626813,0.008008480072021484,0.5,0.5,0.5,0.0,0.0,0.0,0.0006596377988813407,97810.97415640812
2025-02-18,22945.30078125,23088.209488749504,-0.0006184463402948426,0.005605936050415039,1,-0.0006184463402948426,-0.0006184463402948426,0.005605936050415039,0.5,0.5,0.5,0.0,0.0,0.0,-0.0003092231701474213,97780.72873690426
