cost_bps,slippage_bps,n_days,final_portfolio_value,total_return_pct,annual_return,max_drawdown,annualized_volatility,sharpe,sortino,calmar,omega,win_rate_pct,label
0,0,301,103415.73406939204,3.41573406939204,0.028518370612696353,0.06138989016596638,0.057580643395575504,0.5170267393728865,0.643068989796587,0.4645450665508195,1.1266608925661232,54.15282392026578,c0_s0
0,5,301,101580.5301929685,1.5805301929684878,0.013215426081704784,0.06209782246636054,0.05767684389335152,0.2563365953504204,0.3208608113391151,0.21281625597844125,1.0608035846346835,52.823920265780735,c0_s5
0,10,301,99777.54657043585,-0.22245342956415115,-0.0018627383156130106,0.06624472610628755,0.057807921725866664,-0.003483272040177627,-0.004372948983810849,-0.028119043206915918,0.9992005384061409,52.159468438538205,c0_s10
0,15,301,98006.22360600933,-1.993776393990676,-0.01671938165763509,0.07786495723325292,0.05797364032166768,-0.26197090858550215,-0.3302792623281843,-0.2147228002392703,0.9417861769934966,51.162790697674424,c0_s15
5,0,301,101580.5301929685,1.5805301929684878,0.013215426081704784,0.06209782246636054,0.05767684389335152,0.2563365953504204,0.3208608113391151,0.21281625597844125,1.0608035846346835,52.823920265780735,c5_s0
5,5,301,99777.54657043585,-0.22245342956415115,-0.0018627383156130106,0.06624472610628755,0.057807921725866664,-0.003483272040177627,-0.004372948983810849,-0.028119043206915918,0.9992005384061409,52.159468438538205,c5_s5
5,10,301,98006.22360600933,-1.993776393990676,-0.01671938165763509,0.07786495723325292,0.05797364032166768,-0.26197090858550215,-0.3302792623281843,-0.2147228002392703,0.9417861769934966,51.162790697674424,c5_s10
5,15,301,96266.01131722904,-3.733988682770961,-0.031357716387105605,0.08942694056262938,0.05817370363957015,-0.5186785755923596,-0.6588602798094588,-0.35065178557846893,0.8884914433037697,49.501661129568106,c5_s15
10,0,301,99777.54657043585,-0.22245342956415115,-0.0018627383156130106,0.06624472610628755,0.057807921725866664,-0.003483272040177627,-0.004372948983810849,-0.028119043206915918,0.9992005384061409,52.159468438538205,c10_s0
10,5,301,98006.22360600933,-1.993776393990676,-0.01671938165763509,0.07786495723325292,0.05797364032166768,-0.26197090858550215,-0.3302792623281843,-0.2147228002392703,0.9417861769934966,51.162790697674424,c10_s5
10,10,301,96266.01131722904,-3.733988682770961,-0.031357716387105605,0.08942694056262938,0.05817370363957015,-0.5186785755923596,-0.6588602798094588,-0.35065178557846893,0.8884914433037697,49.501661129568106,c10_s10
10,15,301,94556.36917162445,-5.443630828375545,-0.04578090896964637,0.10084620763315401,0.0584077587590832,-0.773176393201516,-0.9864985769095663,-0.45396758137085885,0.8392498810337263,48.50498338870432,c10_s15
15,0,301,98006.22360600933,-1.993776393990676,-0.01671938165763509,0.07786495723325292,0.05797364032166768,-0.26197090858550215,-0.3302792623281843,-0.2147228002392703,0.9417861769934966,51.162790697674424,c15_s0
15,5,301,96266.01131722904,-3.733988682770961,-0.031357716387105605,0.08942694056262938,0.05817370363957015,-0.5186785755923596,-0.6588602798094588,-0.35065178557846893,0.8884914433037697,49.501661129568106,c15_s5
15,10,301,94556.36917162445,-5.443630828375545,-0.04578090896964637,0.10084620763315401,0.0584077587590832,-0.7731763932015159,-0.9864985769095662,-0.45396758137085885,0.8392498810337263,48.50498338870432,c15_s10
15,15,301,92876.7659261265,-7.123234073873497,-0.05999208054306482,0.11212449233278055,0.058675398903546144,-1.0250556091289755,-1.3129754520958443,-0.5350488487832878,0.7937289791242121,47.50830564784053,c15_s15
20,0,301,96266.01131722904,-3.733988682770961,-0.031357716387105605,0.08942694056262938,0.05817370363957015,-0.5186785755923596,-0.6588602798094588,-0.35065178557846893,0.8884914433037697,49.501661129568106,c20_s0
20,5,301,94556.36917162445,-5.443630828375545,-0.04578090896964637,0.10084620763315401,0.0584077587590832,-0.773176393201516,-0.9864985769095663,-0.45396758137085885,0.8392498810337263,48.50498338870432,c20_s5
20,10,301,92876.7659261265,-7.123234073873497,-0.05999208054306482,0.11212449233278055,0.058675398903546144,-1.0250556091289755,-1.3129754520958443,-0.5350488487832878,0.7937289791242121,47.50830564784053,c20_s10
20,15,301,91226.67946917348,-8.773320530826512,-0.07399430755765746,0.12326350782062354,0.058976166837439906,-1.2739314422159453,-1.640108429456381,-0.600293703026333,0.75188127507786,46.179401993355484,c20_s15
30,0,301,92876.76592612652,-7.1232340738734745,-0.05999208054306471,0.1121244923327804,0.058675398903546144,-1.0250556091289755,-1.3129754520958443,-0.5350488487832875,0.7937289791242121,47.50830564784053,c30_s0
30,5,301,91226.67946917348,-8.773320530826512,-0.07399430755765746,0.12326350782062354,0.058976166837439906,-1.2739314422159456,-1.6401084294563815,-0.600293703026333,0.75188127507786,46.179401993355484,c30_s5
30,10,301,89605.5966654747,-10.394403334525293,-0.08779062240755686,0.13426494677075598,0.059309558574492084,-1.5194454646636644,-1.9582214435341052,-0.6538610748302802,0.7133550349440585,45.84717607973422,c30_s10
30,15,301,88013.01320338256,-11.986986796617439,-0.1013840140532899,0.14513048161318234,0.059675027330374525,-1.7612675016798223,-2.275785733154739,-0.6985714711779822,0.6776768130162062,44.85049833887043,c30_s15
